83 0d 0f 08 0f 0f 03 0f 0b 02 09 01 00 08 00 03 02 0c 02 0b 0f 05 08 00 06 00 08 0e 0f 04 0a 04 01 3680 3780 3400 3780 3780 0000 3780 3580 0000 3480 0000 0000 3400 0000 0000 0000 3600 0000 3580 3780 0000 3400 0000 0000 0000 3400 3700 3780 0000 3500 0000 0000
73 01 07 09 0a 02 08 0d 0a 0e 0d 00 03 02 0f 0e 05 0b 00 05 00 0a 0e 09 0f 0a 05 0e 0a 02 0a 05 09 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
67 07 00 02 0f 08 05 0f 07 07 0b 0b 0f 00 0f 07 06 04 0c 04 0e 05 08 03 0e 0f 07 01 0e 01 09 05 03 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
ff 03 0b 0f 05 02 0e 08 07 07 01 07 07 06 08 09 01 07 0d 08 02 0b 03 0a 0f 01 04 01 0b 0b 00 09 05 0000 7bff 7bff 0000 0000 7bff 7bff 0000 0000 0000 0000 0000 0000 7bff 7bff 0000 0000 7bff 7bff 0000 7bff 0000 7bff 7bff 0000 0000 0000 7bff 7bff 0000 7bff 0000
85 07 08 0e 01 08 00 0f 08 02 06 05 0b 0e 0b 00 09 04 08 0b 0a 03 0f 04 0b 02 02 03 0d 07 06 05 07 0000 3c00 3f00 0000 3c00 0000 3f80 3c00 0000 0000 0000 3d80 3f00 3d80 0000 3c80 0000 3c00 3d80 3d00 0000 3f80 0000 3d80 0000 0000 0000 3e80 0000 0000 0000 0000
fd 05 0b 08 01 07 01 09 03 0a 09 0a 0b 01 0d 02 0a 0d 07 01 00 04 01 03 04 02 07 06 0b 0b 05 01 03 0000 7bff 7bff 0000 0000 0000 7bff 0000 7bff 7bff 7bff 7bff 0000 7bff 0000 7bff 7bff 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 7bff 7bff 0000 0000 0000
e9 04 07 04 02 0e 08 04 0d 01 0f 07 0b 09 0b 0f 05 0d 0a 0a 06 08 04 07 02 06 0a 0a 05 09 0f 0a 0c 0000 0000 0000 0000 7bff 7bff 0000 7bff 0000 7bff 0000 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 0000 0000 0000 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff
4f 0d 05 0e 01 04 01 0e 03 05 0e 00 0d 0c 0a 0e 00 07 08 06 0a 06 07 04 03 09 00 09 0f 0a 04 0d 0d 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
ae 0a 0c 0e 04 03 0a 01 08 03 01 0d 0b 0f 0a 0a 04 0d 08 01 0b 0b 0f 0c 0c 06 04 02 0d 0e 02 04 06 7bff 7bff 7bff 0000 0000 7bff 0000 7bff 0000 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 0000 0000 0000 7bff 7bff 0000 0000 0000
77 04 0e 0f 09 01 08 0e 07 0c 04 01 09 06 07 03 0a 08 0d 07 0a 08 09 0b 0c 0e 08 08 08 07 0a 04 03 0000 0700 0780 0480 0000 0400 0700 0000 0600 0000 0000 0480 0000 0000 0000 0500 0400 0680 0000 0500 0400 0480 0580 0600 0700 0400 0400 0400 0000 0500 0000 0000
c1 0b 0d 07 03 06 00 03 07 0b 0e 09 0d 08 0f 04 02 03 03 0a 0c 0c 0f 0c 0b 08 04 07 0a 02 08 05 09 7bff 7bff 0000 0000 0000 0000 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 7bff 0000 7bff 0000 7bff
b8 03 04 07 0a 0e 08 0b 0c 0f 0e 08 0d 00 0a 03 05 07 0f 0e 03 0b 0b 01 03 0b 0a 04 0c 06 00 0a 04 0000 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 0000 0000 0000 7bff 7bff 0000 7bff 7bff 0000 0000 7bff 7bff 0000 7bff 0000 0000 7bff 0000
32 0d 0e 07 05 07 0f 0c 09 0f 0a 01 0a 0d 09 08 0e 0d 06 0c 07 02 0c 01 00 07 0c 07 00 0d 0e 04 0c 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
0c 0f 0f 00 0a 0c 0c 01 0d 0b 04 0e 06 06 08 08 0a 04 0d 03 00 0d 01 0e 0f 06 05 0e 0f 0c 06 0f 0c 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
3b 07 0b 0f 0d 04 0c 09 07 04 07 0f 07 0f 0e 02 0f 01 07 05 0c 09 0e 0e 02 04 0c 04 00 0d 08 0d 0b 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
ff 02 03 03 06 06 08 0a 0f 0c 0b 0b 0e 0c 08 0a 01 02 01 04 09 02 0a 0e 0c 04 09 06 0b 06 09 05 0a 0000 0000 0000 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 0000 0000 0000 7bff 0000 7bff 7bff 7bff 0000 7bff 0000 7bff 0000 7bff 0000 7bff
43 0f 08 0a 07 00 00 0e 0e 0f 05 0e 04 04 0d 06 0c 02 0e 07 0f 0d 0c 0b 04 02 01 04 06 07 09 01 0f 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
ad 06 02 06 03 0e 0d 0b 0b 09 08 09 0a 0d 05 0b 01 00 0c 07 01 0d 05 09 06 02 0b 09 0d 04 0a 02 0d 0000 0000 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 0000 0000 7bff 0000 0000 7bff 0000 7bff 0000 0000 7bff 7bff 7bff 0000 7bff 0000 7bff
fa 00 0f 0a 0b 04 0d 0a 00 0c 0b 0e 0f 00 02 06 0b 00 0c 03 07 04 01 02 0a 05 03 07 06 08 07 02 0d 0000 7bff 7bff 7bff 0000 7bff 7bff 0000 7bff 7bff 7bff 7bff 0000 0000 0000 7bff 0000 7bff 0000 0000 0000 0000 0000 7bff 0000 0000 0000 0000 7bff 0000 0000 7bff
64 04 0a 07 0a 0d 00 0e 04 0f 0e 02 0d 01 0f 05 00 0a 0d 03 08 0f 00 09 0b 0e 09 0e 0e 01 00 00 05 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
ad 0f 04 0d 0f 08 00 05 09 08 0f 07 06 09 0d 05 03 04 08 06 05 0e 01 0e 04 05 02 0a 0b 04 0e 0e 03 7bff 0000 7bff 7bff 7bff 0000 0000 7bff 7bff 7bff 0000 0000 7bff 7bff 0000 0000 0000 7bff 0000 0000 7bff 0000 7bff 0000 0000 0000 7bff 7bff 0000 7bff 7bff 0000
