8b 08 36 07 38 1d 26 18 26 3d 05 04 18 3c 35 03 2b 1f 0a 07 11 0a 16 1e 3c 06 2d 05 3f 34 11 2e 2a 5400 6b00 0000 6c00 5e80 6300 5c00 6300 6e80 0000 0000 5c00 6e00 6a80 0000 6580 5f80 5500 0000 5880 5500 5b00 5f00 6e00 0000 6680 0000 6f80 6a00 5880 6700 6500
32 37 1b 23 2d 13 22 2d 05 11 03 24 31 24 0c 15 2f 29 13 21 1d 30 2d 2a 39 2e 1f 36 1a 3d 39 0f 16 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
a8 01 02 03 3a 28 3f 1f 20 0e 23 19 2f 18 20 15 01 33 10 3f 05 39 29 19 04 2d 3a 20 2b 10 14 01 18 0000 0000 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff
11 0e 38 10 3a 00 30 17 12 26 32 1c 03 12 2f 09 13 0b 1c 3d 2d 37 24 1c 2c 32 03 06 0a 0e 08 0e 07 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
2a 2c 0e 36 23 2f 37 3a 21 39 13 26 2f 2c 15 00 1d 11 2e 04 22 0e 34 17 34 2a 03 05 39 39 07 3e 1b 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
3f 2d 0e 21 29 36 0d 0c 23 26 1b 2e 31 0f 12 2c 1e 24 1b 07 34 02 0a 3d 0e 1e 16 08 1c 0c 02 15 1c 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
8f 0c 11 26 33 31 28 21 11 38 3d 1d 1c 3f 09 1c 3d 24 1a 38 16 02 15 16 22 01 01 0c 0e 05 1f 3a 20 6600 6880 7300 7980 7880 7400 7080 6880 7bff 7bff 6e80 6e00 7bff 6480 6e00 7bff 7200 6d00 7bff 6b00 0000 6a80 6b00 7100 0000 0000 6600 6700 0000 6f80 7bff 7000
36 3b 26 36 0f 1c 33 0e 24 20 3b 1a 3e 0d 11 06 2e 19 3d 21 19 0c 21 03 3a 3d 0f 16 33 04 3b 34 36 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000
89 12 2a 1e 37 39 0e 0f 29 31 39 0e 33 36 09 1f 14 3b 1d 26 14 3a 3c 0f 1f 2c 15 00 07 24 23 30 38 5100 5d00 5700 6380 6480 4f00 4f80 5c80 6080 6480 4f00 6180 6300 4c80 5780 5200 6580 5680 5b00 5200 6500 6600 4f80 5780 5e00 5280 0000 0000 5a00 5980 6000 6400
dc 20 16 0c 2b 11 22 14 2b 26 2a 3c 1a 19 0c 3e 26 30 38 27 19 01 1e 2b 1a 30 29 2f 36 0e 29 3b 1c 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff
94 2c 25 14 35 14 35 1d 23 27 26 02 33 34 17 11 39 03 3d 0c 32 32 1b 27 23 13 3d 3f 1c 31 2b 36 39 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 0000 7bff 7bff 7bff 7bff 7bff 0000 7bff 7a00 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff 7bff
