Test|Result|Errors|Stall_Ev|Stall_Cyc|L->S_Cyc|Total_Cyc|Engine_Cyc|cnt_rd|cnt_wr
32x32x64_mx|TIMEOUT|--|--|--|--|--|--|--|--
32x64x64_mx|--|00000000|0|0|489|504|329|1503|144
32x64x128_mx|--|00000000|1|71|697|712|528|1998|288
64x64x64_mx|--|00000000|3|47|670|685|504|1800|288
64x64x128_mx|--|00000000|5|215|1097|1112|928|3438|576
96x64x96_mx|--|00000000|7|280|1353|1368|1185|4446|648
96x128x64_mx|--|00000000|10|331|1469|1484|1300|4050|432
128x64x128_mx|--|00000000|13|503|1897|1912|1728|6372|1152
192x64x64_mx|--|00000000|11|335|1470|1485|1304|4824|864
192x128x128_mx|--|00000000|46|1555|5006|5021|4828|14562|1728
64x64x64_fp16|--|00000000|0|0|459|474|358|2304|576
96x64x96_fp16|--|00000000|3|190|1129|1144|1028|6912|1728
96x128x128_fp16|--|00000000|0|0|1739|1754|1638|12096|1728
