Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
FP16,32,64,64,0,327,316,96.64,327,39.14,312,128,41.03,64,229,210,0,0,0,230
FP16,32,64,96,0,442,431,97.51,442,28.96,427,128,29.98,128,325,357,0,0,0,326
FP16,32,64,128,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,96,0,698,687,98.42,698,18.34,683,128,18.74,256,581,613,0,0,0,582
FP16,32,128,128,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,64,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,64,64,96,0,776,765,98.58,776,16.49,761,128,16.82,256,581,691,1,78,0,660
FP16,64,64,128,0,838,827,98.69,838,15.27,823,128,15.55,256,613,721,2,108,0,722
FP16,64,128,64,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,128,96,0,1210,1199,99.09,1210,10.58,1195,128,10.71,512,1093,1125,0,0,0,1094
FP16,64,128,128,0,1242,1231,99.11,1242,10.31,1227,128,10.43,512,1125,1125,0,0,0,1126
FP16,96,64,64,0,643,632,98.29,643,19.91,628,128,20.38,192,485,526,1,41,0,527
FP16,96,64,96,0,1144,1133,99.04,1144,11.19,1129,128,11.34,384,837,1059,3,190,0,1028
FP16,96,64,128,0,1222,1211,99.10,1222,10.47,1207,128,10.60,384,869,1105,4,236,0,1106
FP16,96,128,64,0,986,975,98.88,986,12.98,971,128,13.18,384,869,869,0,0,0,870
FP16,96,128,96,0,1722,1711,99.36,1722,7.43,1707,128,7.50,768,1605,1637,0,0,0,1606
FP16,96,128,128,0,1754,1743,99.37,1754,7.30,1739,128,7.36,768,1637,1637,0,0,0,1638
E5M2,32,64,64,0,568,557,98.06,568,22.54,553,128,23.15,64,392,225,0,0,0,393
E5M2,32,64,96,0,728,717,98.49,728,17.58,713,128,17.95,128,488,407,1,56,0,545
E5M2,32,64,128,0,840,829,98.69,840,15.24,825,128,15.52,128,584,423,1,71,0,656
E5M2,32,128,64,0,759,748,98.55,759,16.86,744,128,17.20,128,520,381,1,63,0,584
E5M2,32,128,96,0,954,943,98.85,954,13.42,939,128,13.63,256,648,703,4,116,0,765
E5M2,32,128,128,0,1165,1154,99.06,1165,10.99,1150,128,11.13,256,776,749,6,195,0,972
E5M2,64,64,64,0,813,802,98.65,813,15.74,798,128,16.04,128,584,325,3,47,0,632
E5M2,64,64,96,502,1096,1085,99.00,1096,11.68,1081,128,11.84,256,744,703,4,168,0,913
E5M2,64,64,128,0,1240,1229,99.11,1240,10.32,1225,128,10.45,256,840,746,5,215,0,1056
E5M2,64,128,64,0,1156,1145,99.05,1156,11.07,1141,128,11.22,256,776,705,6,195,0,972
E5M2,64,128,96,0,1639,1628,99.33,1639,7.81,1624,128,7.88,512,1160,1311,9,289,0,1450
E5M2,64,128,128,0,1949,1938,99.44,1949,6.57,1934,128,6.62,512,1288,1414,14,467,0,1756
E5M2,96,64,64,0,1013,1002,98.91,1013,12.64,998,128,12.83,192,712,453,5,119,0,832
E5M2,96,64,96,1014,1464,1453,99.25,1464,8.74,1449,128,8.83,384,1000,999,7,280,0,1281
E5M2,96,64,128,0,1640,1629,99.33,1640,7.80,1625,128,7.88,384,1096,1069,9,359,0,1456
E5M2,96,128,64,0,1548,1537,99.29,1548,8.27,1533,128,8.35,384,1032,1020,10,331,0,1364
E5M2,96,128,96,0,2324,2313,99.53,2324,5.51,2309,128,5.54,768,1672,1919,14,462,0,2135
E5M2,96,128,128,0,2733,2722,99.60,2733,4.68,2718,128,4.71,768,1800,2079,22,739,0,2540
E4M3,32,64,64,0,568,557,98.06,568,22.54,553,128,23.15,64,392,225,0,0,0,393
E4M3,32,64,96,0,728,717,98.49,728,17.58,713,128,17.95,128,488,407,1,56,0,545
