Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
E5M2,32,64,64,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,64,64,128,0,930,919,98.82,930,13.76,915,128,13.99,256,713,574,4,34,0,748
E5M2,32,64,96,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,32,64,128,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,32,128,64,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,32,128,96,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,32,128,128,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,64,64,64,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,64,64,96,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,64,128,64,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,64,128,96,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,64,128,128,,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
