Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
FP16,160,128,128,0,2778,2767,99.60,2778,4.61,2763,128,4.63,1280,2661,2661,0,0,0,2662
FP16,192,128,128,0,3290,3279,99.67,3290,3.89,3275,128,3.91,1536,3173,3173,0,0,0,3174
FP16,128,160,128,0,2778,2767,99.60,2778,4.61,2763,128,4.63,1280,2661,2661,0,0,0,2662
FP16,128,192,128,0,3290,3279,99.67,3290,3.89,3275,128,3.91,1536,3173,3173,0,0,0,3174
FP16,160,160,160,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,160,192,128,0,4058,4047,99.73,4058,3.15,4043,128,3.17,1920,3941,3941,0,0,0,3942
E4M3,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998
E4M3,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535
E4M3,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029
E4M3,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485
E4M3,160,160,160,0,5535,5524,99.80,5535,2.31,5520,128,2.32,2400,4968,4615,18,364,0,5333
E4M3,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278
E5M2,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998
E5M2,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535
E5M2,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029
E5M2,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485
E5M2,160,160,160,0,5535,5524,99.80,5535,2.31,5520,128,2.32,2400,4968,4615,18,364,0,5333
E5M2,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278
E2M1,160,128,128,0,3172,3161,99.65,3172,4.04,3157,128,4.05,1280,2888,2226,13,109,0,2998
E2M1,192,128,128,0,3709,3698,99.70,3709,3.45,3694,128,3.47,1536,3400,2628,16,134,0,3535
E2M1,128,160,128,0,3208,3197,99.66,3208,3.99,3193,128,4.01,1280,2888,2301,10,140,0,3029
E2M1,128,192,128,0,3668,3657,99.70,3668,3.49,3653,128,3.50,1536,3400,2665,10,84,0,3485
E2M1,160,160,160,0,5517,5506,99.80,5517,2.32,5502,128,2.33,2400,4968,4603,18,364,0,5333
E2M1,160,192,128,0,4461,4450,99.75,4461,2.87,4446,128,2.88,1920,4168,3259,13,109,0,4278
E3M2,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998
E2M3,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998
E3M2,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535
E2M3,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535
E3M2,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029
E2M3,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029
E3M2,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485
E2M3,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485
E3M2,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278
E2M3,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278
