Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
FP16,32,64,64,0,327,316,96.64,327,39.14,312,128,41.03,64,229,210,0,0,0,230
FP16,32,64,96,0,442,431,97.51,442,28.96,427,128,29.98,128,325,357,0,0,0,326
FP16,32,64,128,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,96,0,698,687,98.42,698,18.34,683,128,18.74,256,581,613,0,0,0,582
FP16,32,128,128,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,64,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,64,64,96,0,776,765,98.58,776,16.49,761,128,16.82,256,581,691,1,78,0,660
FP16,64,64,128,0,838,827,98.69,838,15.27,823,128,15.55,256,613,721,2,108,0,722
FP16,64,128,64,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,128,96,0,1210,1199,99.09,1210,10.58,1195,128,10.71,512,1093,1125,0,0,0,1094
