Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc,cnt_rd,cnt_wr
E4M3,32,64,64,0,600,589,98.17,600,21.33,585,128,21.88,64,456,194,0,0,0,457,1368,144
E4M3,32,64,96,0,774,763,98.58,774,16.54,759,128,16.86,128,584,362,1,9,0,594,1737,216
E4M3,32,64,128,0,904,893,98.78,904,14.16,889,128,14.40,128,712,364,1,9,0,722,1926,288
E4M3,32,128,64,0,741,730,98.52,741,17.27,726,128,17.63,128,584,335,0,0,0,585,1926,144
E4M3,32,128,96,0,910,899,98.79,910,14.07,895,128,14.30,256,712,626,1,9,0,722,2601,216
E4M3,32,128,128,0,1043,1032,98.95,1043,12.27,1028,128,12.45,256,840,631,1,9,0,850,2916,288
E4M3,64,64,64,0,906,895,98.79,906,14.13,891,128,14.37,128,712,295,2,16,0,729,1800,288
E4M3,64,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E4M3,64,64,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E4M3,64,128,64,0,1039,1028,98.94,1039,12.32,1024,128,12.50,256,840,492,2,16,0,857,2844,288
E4M3,64,128,96,0,1447,1436,99.24,1447,8.85,1432,128,8.94,512,1224,1028,4,34,0,1259,4662,432
E4M3,64,128,128,0,1580,1569,99.30,1580,8.10,1565,128,8.18,512,1352,1033,4,34,0,1387,5256,576
E4M3,96,64,64,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E4M3,96,64,96,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E4M3,96,64,128,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E4M3,96,128,64,0,1311,1300,99.16,1311,9.76,1296,128,9.88,384,1096,629,4,32,0,1129,4050,432
