Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc,cnt_rd,cnt_wr
E4M3,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998,12231,1440
E4M3,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535,14562,1728
E4M3,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029,11799,1152
E4M3,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485,13428,1152
E4M3,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278,16632,1440
E5M2,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998,12231,1440
E5M2,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535,14562,1728
E5M2,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029,11799,1152
E5M2,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485,13428,1152
E5M2,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278,16632,1440
E3M2,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998,12231,1440
E3M2,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535,14562,1728
E3M2,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029,11799,1152
E3M2,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485,13428,1152
E3M2,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278,16632,1440
E2M3,160,128,128,0,3191,3180,99.66,3191,4.01,3176,128,4.03,1280,2888,2239,13,109,0,2998,12231,1440
E2M3,192,128,128,0,3728,3717,99.70,3728,3.43,3713,128,3.45,1536,3400,2641,16,134,0,3535,14562,1728
E2M3,128,160,128,0,3226,3215,99.66,3226,3.97,3211,128,3.99,1280,2888,2313,10,140,0,3029,11799,1152
E2M3,128,192,128,0,3686,3675,99.70,3686,3.47,3671,128,3.49,1536,3400,2677,10,84,0,3485,13428,1152
E2M3,160,192,128,0,4479,4468,99.75,4479,2.86,4464,128,2.87,1920,4168,3271,13,109,0,4278,16632,1440
E2M1,160,128,128,0,3172,3161,99.65,3172,4.04,3157,128,4.05,1280,2888,2226,13,109,0,2998,8100,720
E2M1,192,128,128,0,3709,3698,99.70,3709,3.45,3694,128,3.47,1536,3400,2628,16,134,0,3535,9522,864
E2M1,128,160,128,0,3208,3197,99.66,3208,3.99,3193,128,4.01,1280,2888,2301,10,140,0,3029,7524,576
E2M1,128,192,128,0,3668,3657,99.70,3668,3.49,3653,128,3.50,1536,3400,2665,10,84,0,3485,8460,576
E2M1,160,192,128,0,4461,4450,99.75,4461,2.87,4446,128,2.88,1920,4168,3259,13,109,0,4278,10368,720
