Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc,cnt_rd,cnt_wr
FP16,32,64,64,0,327,316,96.64,327,39.14,312,128,41.03,64,229,210,0,0,0,230,1440,288
FP16,32,64,96,0,442,431,97.51,442,28.96,427,128,29.98,128,325,357,0,0,0,326,2304,576
FP16,32,64,128,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358,2304,576
FP16,32,128,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358,2304,288
FP16,32,128,96,0,698,687,98.42,698,18.34,683,128,18.74,256,581,613,0,0,0,582,4032,576
FP16,32,128,128,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614,4032,576
FP16,64,64,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358,2304,576
FP16,64,64,96,0,776,765,98.58,776,16.49,761,128,16.82,256,581,691,1,78,0,660,4608,1152
FP16,64,64,128,0,838,827,98.69,838,15.27,823,128,15.55,256,613,721,2,108,0,722,4608,1152
FP16,64,128,64,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614,4032,576
FP16,64,128,96,0,1210,1199,99.09,1210,10.58,1195,128,10.71,512,1093,1125,0,0,0,1094,8064,1152
FP16,64,128,128,0,1242,1231,99.11,1242,10.31,1227,128,10.43,512,1125,1125,0,0,0,1126,8064,1152
FP16,96,64,64,0,643,632,98.29,643,19.91,628,128,20.38,192,485,526,1,41,0,527,3456,864
FP16,96,64,96,0,1144,1133,99.04,1144,11.19,1129,128,11.34,384,837,1059,3,190,0,1028,6912,1728
FP16,96,64,128,0,1222,1211,99.10,1222,10.47,1207,128,10.60,384,869,1105,4,236,0,1106,6912,1728
FP16,96,128,64,0,986,975,98.88,986,12.98,971,128,13.18,384,869,869,0,0,0,870,6048,864
FP16,96,128,96,0,1722,1711,99.36,1722,7.43,1707,128,7.50,768,1605,1637,0,0,0,1606,12096,1728
FP16,96,128,128,0,1754,1743,99.37,1754,7.30,1739,128,7.36,768,1637,1637,0,0,0,1638,12096,1728
FP16,128,128,128,0,2266,2255,99.51,2266,5.65,2251,128,5.69,1024,2149,2149,0,0,0,2150,16128,2304
FP16,160,128,128,0,2778,2767,99.60,2778,4.61,2763,128,4.63,1280,2661,2661,0,0,0,2662,20160,2880
FP16,192,128,128,0,3290,3279,99.67,3290,3.89,3275,128,3.91,1536,3173,3173,0,0,0,3174,24192,3456
FP16,128,160,128,0,2778,2767,99.60,2778,4.61,2763,128,4.63,1280,2661,2661,0,0,0,2662,20736,2304
FP16,128,192,128,0,3290,3279,99.67,3290,3.89,3275,128,3.91,1536,3173,3173,0,0,0,3174,23040,2304
FP16,160,192,128,0,4058,4047,99.73,4058,3.15,4043,128,3.17,1920,3941,3941,0,0,0,3942,28800,2880
FP16,160,160,160,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,192,192,128,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,192,192,192,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,256,128,128,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,128,256,128,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,128,128,256,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,256,256,128,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,256,256,256,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
