Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc,cnt_rd,cnt_wr
E4M3,32,64,64,00000000,438,427,97.49,438,29.22,423,128,30.26,64,299,194,,,,,1359,144
E4M3,32,64,96,00000000,541,530,97.97,541,23.66,526,128,24.33,128,363,355,,,,,1737,216
E4M3,32,64,128,00000000,608,597,98.19,608,21.05,593,128,21.59,128,427,358,,,,,1926,288
E4M3,32,128,64,00000000,579,568,98.10,579,22.11,564,128,22.70,128,427,335,,,,,1926,144
E4M3,32,128,96,00000000,805,794,98.63,805,15.90,790,128,16.20,256,619,619,,,,,2601,216
E4M3,32,128,128,00000000,874,863,98.74,874,14.65,859,128,14.90,256,683,624,,,,,2916,288
E4M3,64,64,64,00000000,609,598,98.19,609,21.02,594,128,21.55,128,427,288,,,,,1800,288
E4M3,64,64,96,00000000,822,811,98.66,822,15.57,807,128,15.86,256,619,565,,,,,3033,432
E4M3,64,64,128,00000000,889,878,98.76,889,14.40,874,128,14.65,256,683,568,,,,,3366,576
E4M3,64,128,64,00000000,871,860,98.74,871,14.70,856,128,14.95,256,683,486,,,,,2844,288
E4M3,64,128,96,00000000,1342,1331,99.18,1342,9.54,1327,128,9.65,512,1131,1021,,,,,4662,432
E4M3,64,128,128,00000000,1411,1400,99.22,1411,9.07,1396,128,9.17,512,1195,1026,,,,,5256,576
E4M3,96,64,64,00000000,753,742,98.54,753,17.00,738,128,17.34,192,555,361,,,,,2592,432
E4M3,96,64,96,00000000,1103,1092,99.00,1103,11.60,1088,128,11.76,384,875,775,,,,,4374,648
E4M3,96,64,128,00000000,1170,1159,99.06,1170,10.94,1155,128,11.08,384,939,778,,,,,4860,864
E4M3,96,128,64,00000000,1143,1132,99.04,1143,11.20,1128,128,11.35,384,939,623,,,,,4050,432
E4M3,96,128,96,00000000,1879,1868,99.41,1879,6.81,1864,128,6.87,768,1643,1423,,,,,6723,648
E4M3,96,128,128,00000000,1948,1937,99.44,1948,6.57,1933,128,6.62,768,1707,1428,,,,,7596,864
E4M3,128,128,128,00000000,2485,2474,99.56,2485,5.15,2470,128,5.18,1024,2219,1830,,,,,9936,1152
E4M3,128,160,128,00000000,3059,3048,99.64,3059,4.18,3044,128,4.20,1280,2731,2308,,,,,11799,1152
E4M3,128,192,128,00000000,3519,3508,99.69,3519,3.64,3504,128,3.65,1536,3243,2672,,,,,13428,1152
