Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
FP16,32,64,64,0,327,316,96.64,327,39.14,312,128,41.03,64,229,210,0,0,0,230
FP16,32,64,96,0,442,431,97.51,442,28.96,427,128,29.98,128,325,357,0,0,0,326
FP16,32,64,128,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,96,0,698,687,98.42,698,18.34,683,128,18.74,256,581,613,0,0,0,582
FP16,32,128,128,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,64,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,64,64,96,0,776,765,98.58,776,16.49,761,128,16.82,256,581,691,1,78,0,660
FP16,64,64,128,0,838,827,98.69,838,15.27,823,128,15.55,256,613,721,2,108,0,722
FP16,64,128,64,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,128,96,0,1210,1199,99.09,1210,10.58,1195,128,10.71,512,1093,1125,0,0,0,1094
FP16,64,128,128,0,1242,1231,99.11,1242,10.31,1227,128,10.43,512,1125,1125,0,0,0,1126
FP16,96,64,64,0,643,632,98.29,643,19.91,628,128,20.38,192,485,526,1,41,0,527
FP16,96,64,96,0,1144,1133,99.04,1144,11.19,1129,128,11.34,384,837,1059,3,190,0,1028
FP16,96,64,128,0,1222,1211,99.10,1222,10.47,1207,128,10.60,384,869,1105,4,236,0,1106
FP16,96,128,64,0,986,975,98.88,986,12.98,971,128,13.18,384,869,869,0,0,0,870
FP16,96,128,96,0,1722,1711,99.36,1722,7.43,1707,128,7.50,768,1605,1637,0,0,0,1606
FP16,96,128,128,0,1754,1743,99.37,1754,7.30,1739,128,7.36,768,1637,1637,0,0,0,1638
E5M2,32,64,64,0,536,525,97.95,536,23.88,521,128,24.57,64,392,194,0,0,0,393
E5M2,32,64,96,0,678,667,98.38,678,18.88,663,128,19.31,128,488,362,1,9,0,498
E5M2,32,64,128,0,776,765,98.58,776,16.49,761,128,16.82,128,584,364,1,9,0,594
E5M2,32,128,64,0,677,666,98.38,677,18.91,662,128,19.34,128,520,335,0,0,0,521
E5M2,32,128,96,0,846,835,98.70,846,15.13,831,128,15.40,256,648,626,1,9,0,658
E5M2,32,128,128,0,979,968,98.88,979,13.07,964,128,13.28,256,776,631,1,9,0,786
E5M2,64,64,64,0,778,767,98.59,778,16.45,763,128,16.78,128,584,295,2,16,0,601
E5M2,64,64,96,477,979,968,98.88,979,13.07,964,128,13.28,256,748,588,5,50,0,799
E5M2,64,64,128,BLANK,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,64,128,64,0,975,964,98.87,975,13.13,960,128,13.33,256,776,492,2,16,0,793
E5M2,64,128,96,0,1383,1372,99.20,1383,9.26,1368,128,9.36,512,1160,1028,4,34,0,1195
E5M2,64,128,128,0,1516,1505,99.27,1516,8.44,1501,128,8.53,512,1288,1033,4,34,0,1323
E5M2,96,64,64,444,970,959,98.87,970,13.20,955,128,13.40,192,760,368,4,32,0,793
E5M2,96,64,96,970,1288,1277,99.15,1288,9.94,1273,128,10.05,384,1004,826,9,103,0,1108
E5M2,96,64,128,BLANK,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
E5M2,96,128,64,0,1247,1236,99.12,1247,10.26,1232,128,10.39,384,1032,629,4,32,0,1065
E5M2,96,128,96,0,1920,1909,99.43,1920,6.67,1905,128,6.72,768,1672,1430,7,59,0,1732
E5M2,96,128,128,0,2053,2042,99.46,2053,6.23,2038,128,6.28,768,1800,1435,7,59,0,1860
E4M3,32,64,64,0,536,525,97.95,536,23.88,521,128,24.57,64,392,194,0,0,0,393
E4M3,32,64,96,0,678,667,98.38,678,18.88,663,128,19.31,128,488,362,1,9,0,498
