Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
FP16,32,64,64,0,327,316,96.64,327,39.14,312,128,41.03,64,229,210,0,0,0,230
FP16,32,64,96,0,442,431,97.51,442,28.96,427,128,29.98,128,325,357,0,0,0,326
FP16,32,64,128,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,32,128,96,0,698,687,98.42,698,18.34,683,128,18.74,256,581,613,0,0,0,582
FP16,32,128,128,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,64,64,0,474,463,97.68,474,27.00,459,128,27.89,128,357,357,0,0,0,358
FP16,64,64,96,0,776,765,98.58,776,16.49,761,128,16.82,256,581,691,1,78,0,660
FP16,64,64,128,0,838,827,98.69,838,15.27,823,128,15.55,256,613,721,2,108,0,722
FP16,64,128,64,0,730,719,98.49,730,17.53,715,128,17.90,256,613,613,0,0,0,614
FP16,64,128,96,0,1210,1199,99.09,1210,10.58,1195,128,10.71,512,1093,1125,0,0,0,1094
FP16,64,128,128,0,1242,1231,99.11,1242,10.31,1227,128,10.43,512,1125,1125,0,0,0,1126
FP16,96,64,64,0,643,632,98.29,643,19.91,628,128,20.38,192,485,526,1,41,0,527
FP16,96,64,96,0,1144,1133,99.04,1144,11.19,1129,128,11.34,384,837,1059,3,190,0,1028
FP16,96,64,128,0,1222,1211,99.10,1222,10.47,1207,128,10.60,384,869,1105,4,236,0,1106
FP16,96,128,64,0,986,975,98.88,986,12.98,971,128,13.18,384,869,869,0,0,0,870
FP16,96,128,96,0,1722,1711,99.36,1722,7.43,1707,128,7.50,768,1605,1637,0,0,0,1606
FP16,96,128,128,0,1754,1743,99.37,1754,7.30,1739,128,7.36,768,1637,1637,0,0,0,1638
E5M2,32,64,64,0,570,559,98.07,570,22.46,555,128,23.06,96,392,226,1,1,0,394
E5M2,32,64,96,0,703,692,98.44,703,18.21,688,128,18.60,160,488,385,1,1,0,490
E5M2,32,64,128,0,801,790,98.63,801,15.98,786,128,16.28,160,584,387,1,1,0,586
E5M2,32,128,64,0,711,700,98.45,711,18.00,696,128,18.39,160,520,367,1,1,0,522
E5M2,32,128,96,145,878,867,98.75,878,14.58,863,128,14.83,288,648,656,2,8,0,657
E5M2,32,128,128,245,1011,1000,98.91,1011,12.66,996,128,12.85,288,776,661,2,8,0,785
E5M2,64,64,64,299,868,857,98.73,868,14.75,853,128,15.01,192,584,413,2,2,0,658
E5M2,64,64,96,109,1038,1027,98.94,1038,12.33,1023,128,12.51,320,744,679,3,9,0,825
E5M2,64,64,128,807,1193,1182,99.08,1193,10.73,1178,128,10.87,320,897,681,3,9,0,978
