Format,M,N,K,Errors,Total_Cyc,Busy_Cyc,Busy_Pct,Engine_Cyc,Engine_Util_Pct,LoadStore_Cyc,Ideal_Cyc,Utilization_Pct,W_Load_Cyc,W_Shift_Cyc,W_Valid_Cyc,Stall_Events,Stall_Cyc,Z_Hold_Cyc,Engine_Window_Cyc
FP16,160,128,128,0,2778,2767,99.60,2778,4.61,2763,128,4.63,1280,2661,2661,0,0,0,2662
FP16,192,128,128,0,3290,3279,99.67,3290,3.89,3275,128,3.91,1536,3173,3173,0,0,0,3174
FP16,128,160,128,0,2778,2767,99.60,2778,4.61,2763,128,4.63,1280,2661,2661,0,0,0,2662
FP16,128,192,128,0,3290,3279,99.67,3290,3.89,3275,128,3.91,1536,3173,3173,0,0,0,3174
FP16,160,160,160,BUILD_FAIL,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
FP16,160,192,128,0,4058,4047,99.73,4058,3.15,4043,128,3.17,1920,3941,3941,0,0,0,3942
E4M3,160,128,128,0,4301,4290,99.74,4301,2.98,4286,128,2.99,1280,2824,3409,38,1283,0,4108
E4M3,192,128,128,0,5085,5074,99.78,5085,2.52,5070,128,2.52,1536,3336,4074,46,1555,0,4892
E4M3,128,160,128,2749,4177,4166,99.74,4177,3.06,4162,128,3.08,1280,2824,3248,27,1155,0,3980
E4M3,128,192,128,0,5062,5051,99.78,5062,2.53,5047,128,2.54,1536,3336,3990,46,1524,0,4861
E4M3,160,160,160,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E4M3,160,192,128,0,6230,6219,99.82,6230,2.05,6215,128,2.06,1920,4104,4965,58,1924,0,6029
E5M2,160,128,128,0,4301,4290,99.74,4301,2.98,4286,128,2.99,1280,2824,3409,38,1283,0,4108
E5M2,192,128,128,0,5085,5074,99.78,5085,2.52,5070,128,2.52,1536,3336,4074,46,1555,0,4892
E5M2,128,160,128,2745,4177,4166,99.74,4177,3.06,4162,128,3.08,1280,2824,3248,27,1155,0,3980
E5M2,128,192,128,0,5062,5051,99.78,5062,2.53,5047,128,2.54,1536,3336,3990,46,1524,0,4861
E5M2,160,160,160,TIMEOUT,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO,TO
E5M2,160,192,128,0,6230,6219,99.82,6230,2.05,6215,128,2.06,1920,4104,4965,58,1924,0,6029
